 , .1, .2, .3, .4, .5, .6, .7, .8, .9, .10, .11, .12, .13, .14
دیده بان بازار : 1400/12/22,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
شستا,سرمايه گذاري تامين اجتماعي,18050,785479290,693882064561,892,885,882,-10,-1.12,883,-9,-1.01,870,896
پالايش,صندوق پالايشي يكم-سهام,15499,22293758,1567289813120,70240,69920,70350,110,0.16,70300,60,0.09,69850,70810
شتران,پالايش نفت تهران,10225,205412526,1057574142960,5050,5010,5190,140,2.77,5150,100,1.98,5010,5250
دارا يكم,صندوق واسطه گري مالي يكم-سهام,8936,6649377,726617438910,109200,108990,109270,70,0.06,109280,80,0.07,108660,109890
خودرو,ايران‌ خودرو,8595,333203849,693606448658,2087,2060,2081,-6,-0.29,2082,-5,-0.24,2050,2112
خساپا,سايپا,7138,297442995,473880302631,1604,1580,1599,-5,-0.31,1593,-11,-0.69,1569,1620
فساح,ح. پتروشيمي فسا,6325,1258814493,1258814493,1,1,1,0,0,1,0,0,1,1
فزر,پويا زركان آق دره,6315,10535681,291084176650,27750,27100,27600,-150,-0.54,27650,-100,-0.36,27050,28000
شپنا,پالايش نفت اصفهان,5921,72100049,470442749010,6470,6330,6510,40,0.62,6520,50,0.77,6330,6640
شبندر,پالايش نفت بندرعباس,5900,62329015,464158159350,7380,7240,7420,40,0.54,7450,70,0.95,7240,7570
كمند,صندوق س. با درآمد ثابت كمند,5657,213599064,2144460206911,10034,10040,10040,6,0.06,10040,6,0.06,10039,10040
تجلي,تجلي توسعه معادن و فلزات,5351,130913926,216095601182,1681,1653,1621,-60,-3.57,1651,-30,-1.78,1613,1692
فولاد,فولاد مباركه اصفهان,4904,48103494,505428624450,10470,10340,10470,0,0,10510,40,0.38,10310,10630
فملي,ملي‌ صنايع‌ مس‌ ايران‌,4637,75359302,524335469770,6970,6900,6940,-30,-0.43,6960,-10,-0.14,6890,7020
خپارس,پارس‌ خودرو,4147,171977422,172034325834,1002,992,998,-4,-0.4,1000,-2,-0.2,980,1029
وبملت,بانك ملت,3846,92769086,317742869596,3410,3330,3413,3,0.09,3425,15,0.44,3330,3495
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,3735,114199096,256539478477,2257,2220,2249,-8,-0.35,2246,-11,-0.49,2212,2289
انرژي,بورس انرژي ايران,3641,3107275,160169190050,52570,52000,51100,-1470,-2.8,51550,-1020,-1.94,50650,52780
وتجارت,بانك تجارت,3558,113357690,204828735862,1813,1753,1801,-12,-0.66,1807,-6,-0.33,1753,1838
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3413,70544917,149982521058,2193,2130,2121,-72,-3.28,2126,-67,-3.06,2088,2180
كيان,صندوق س. با درآمد ثابت كيان,3344,43002461,1446276887459,33616,33635,33633,17,0.05,33632,16,0.05,33620,33635
كرمان,س. توسعه و عمران استان كرمان,3218,136589194,99254925249,724,722,725,1,0.14,727,3,0.41,721,738
فرابورس,فرابورس ايران,3136,12686330,136224038690,10730,10520,10650,-80,-0.75,10740,10,0.09,10520,11040
شپديس,پتروشيمي پرديس,2999,1824655,301691237300,165580,165600,162500,-3080,-1.86,165340,-240,-0.14,160100,170180
سمگا,گروه سرمايه گذاري ميراث فرهنگي,2995,23515381,204064299160,8890,9000,8530,-360,-4.05,8680,-210,-2.36,8450,9000
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2994,63415980,2706495742100,42649,42679,42680,31,0.07,42678,29,0.07,42678,42681
كماسه,تامين‌ ماسه‌ ريخته‌گري‌,2969,47366036,166822743268,3494,3530,3393,-101,-2.89,3522,28,0.8,3390,3668
بركت,گروه دارويي بركت,2887,8237758,138648028270,16360,16270,16730,370,2.26,16830,470,2.87,16270,17120
وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,2757,5422562,305354419680,54090,56790,54960,870,1.61,56310,2220,4.1,53500,56790
فسبزوار,پارس فولاد سبزوار,2715,1643252,47918781800,29050,28730,29260,210,0.72,29160,110,0.38,28110,29720
